tabname,fieldname,as4local,as4vers,position,keyflag,mandatory,rollname,checktable,adminfield,inttype,intlen,reftable,precfield,reffield,conrout,notnull,datatype,leng,decimals,domname,shlporigin,tabletype,depth,comptype,reftype,languflag,dbposition,anonymous,outputstyle
SAPPLSEF_TRANSP_REQ_SUITEREQ_3,NICK_NAME,A,,24,,,SAPPLSEF_LANGUAGEINDEPENDENT_M,,0,C,80,,,,,,CHAR,40,,,,,2.0,E,,,,,
N2CA06,N8CARESNAM,A,,139,,,N2_CARSNM,,0,C,80,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
PPESSTATUS_LOG,CSIDTEXT,A,,3,,,PPE_SCSIDTEXT,,0,C,40,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
ISM_ADVSOICCQIADVERTISERSHARE,NAME_SUPPLEMENT_NAME,A,,113,,,ISM_LANGUINDEPEND_MEDIUM_NAME,,0,C,80,,,,,,CHAR,40,,,,,3.0,E,,,,,
KOMWBHIH,BEZEI_ROUTE,A,,213,,,ROUTBEZ,,2,C,80,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
PTM_S_JF_WITH_Q,TTEXT,A,,7,,,STEXT,,0,C,40,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
EAMWS_GRRM_S_API_RISK_LIST,OBJECTIVE_TXT,A,,19,,,EAMWS_GRFN_TITLE,,0,C,40,,,,,,CHAR,40,,CHAR40,,,,E,,,,,
V77FSEAT,TOOLTEXT,A,,4,,,TEXT40,,0,C,40,,,,,,CHAR,40,,TEXT40,,,,E,,,,,
ISU_WA_ORDEROBJ_S_SERVFREQ,COUNTY,A,,423,,,AD_COUNTY,,3,C,80,,,,,,CHAR,40,,TEXT40,D,,1.0,E,,,,,
BUPA_BPERPCK_QRY_S_BPCOM,FAMILY_NAME,A,,32,,,SAPPLCO_LANGUAGEINDEPENDENT_ME,,0,C,80,,,,,,CHAR,40,,,,,2.0,E,,,,,
EDOC_IT_FATTURAFI_SOURCE,EXTENSION2,A,,320,,,AD_EXTENS2,,0,C,80,,,,,,CHAR,40,,TEXT40,,,1.0,E,,,,,
TTONFVZZBEPP,BASEFACTOR,A,,286,,,TFM_BASEFACTOR,,1,e,16,,,,,,D34R,34,,TFM_FACTOR,,,,E,,,,,
LRM_S_PD_RTP_RULE,PD_STORE,A,,7,,,ILM_PD_STORE,,0,g,8,,,,,,SSTR,255,,,,,,E,,,,,
IBD_SAPMSM2107_ALV,TEXT,A,,20,,,IBD_ERRMESSAGE,,0,C,1604,,,,,,LCHR,802,,,,,,E,,,,,
FKKEBPP_ADURI,URI_ADDR,A,,7,,,AD_URI,,0,C,2048,,,,,,LCHR,2048,,AD_URI,,,,E,,,,,
ESH_S_IF_INA_ATTR_FILTER,ALIAS,A,,3,,,ESH_E_IF_INA_SSTRING,,0,g,8,,,,,,SSTR,250,,,,,,E,,,,,
CMM_PRC_S_FBFIX_FIXATION_DATA,TERMRATE_DF34,A,,69,,,CPET_INTERNAL_VALUE,,0,e,16,,,,,,D34D,31,14.0,CPE_INTERNAL_VALUE,,,,E,,,,,
BAPIDFKKOP_DP,TAX_BASE_LOC_CURR,A,,15,,,BP_SBASH_KK,,0,P,12,,,,,,DEC,23,4.0,BAPICURR,,,,E,,,,,
APPLSEF_MEASUREMENT_READING_E6,VALUE,A,,72,,,APPLSEF_MEASURE_CONTENT1,,0,P,10,,,,,,DEC,19,6.0,,,,2.0,E,,,,,
DB2EDMPOOL,QISESQCA,A,,50,,,DB2ISESQCA,,1,P,10,,,,,,DEC,19,,DB2DEC19V,,,,E,,,,,
ICMMNAPNLVALUE,CALCRELCONTRCONDITIONTERMRATE,A,,91,X,,CDS_CALCREL_CONTRACT_TERMRATE,,0,P,16,,,,,,DEC,31,8.0,,,,,E,,,,,
DB6PMCIDX,SYSFULLKCD,A,,10,,,,,0,P,12,,,,,,DEC,22,,,,,,,,,,,
BAPI_JBD_STR_SWAP_ADDFLOW,LOCAL_CUR_AMOUNT,A,,12,,,BAPI_JBD_DTE_BHWBETR,,0,P,12,,,,,,DEC,23,4.0,BAPICURR,,,,E,,,,,
HRNL_EIR_AANLEVER_RESULTAAT1,TIJDSTEMPEL_ONTVANGST,A,,10,,,XSDDATETIME_LONG_Z,,0,P,11,,,,,,DEC,21,7.0,XSDDATETIME_LONG_Z,,,1.0,E,,,,,
SE16N_LT,GUID,A,,6,,,SE16N_ID,,0,P,11,,,,,,DEC,21,7.0,TZNTSTMPL,,,,E,,,,,
SWNCGLHITINCDB,INSTI,A,,11,,,SWNCTIMMSAGG,,0,P,13,,,,,,DEC,24,,SWNCDOMDEC24,,,,E,,,,,
SAPPLCO_MSMTRDNG_SMSMTRDNG,CONTENT,A,,42,,,SAPPLCO_MEASURE_CONTENT1,,0,P,16,,,,,,DEC,31,14.0,,,,2.0,E,,,,,
ISSR_ADMN_ASSET_SPEC_X,FUND_SHR_NONEWR,A,,48,,,ISSR_FOND_ANTEIL_NONEWR,,1,P,4,,,,,,DEC,7,4.0,ISSR_FOND_ANTEIL,F,,,E,,,,,
DB6_VIEW_PKGC_SECTIONS,POST_SHRTHRESHOLD_SORTS,A,,303,,,,,1,P,12,,,,,,DEC,22,,,,,1.0,,,,,,
V_T71ADM17,MIPCT,A,,14,,,ECM_MIPCT,,0,P,4,,,,,,DEC,7,2.0,ECM_CPPCS,,,,E,,,,,
DB6_VIEW_TBSNAP_DETAIL,BP_D_SWS,A,,18,,,,,0,P,12,,,,,,DEC,22,,,,,1.0,,,,,,
SAPPLSEF_INVC_REQ_ITM,VALUE,A,,3050,,,SAPPLSEF_MEASURE_CONTENT1,,0,P,10,,,,,,DEC,19,6.0,,,,4.0,E,,,,,
DB6MON_PKGC_STMT,TOTAL_SECTION_TIME,A,,79,,,,,1,P,12,,,,,,DEC,22,,,,,,,,,,,
HRPBSCAS_NOVA_KUERZUNG_P57,P58_AKT_RENTENWERT,A,,27,,,DE_PBSVAVG_AKTRW,,0,P,6,,,,,,DEC,11,5.0,PDE_PBSVAVG_DEC6_5,,,,E,,,,,
DB6_VIEW_DBSNAP,STATS_FABRICATIONS,A,,174,,,,,0,P,12,,,,,,DEC,22,,,,,1.0,,,,,,
ISM_ADVSOUCQPRINTADSPEC,CONTENT,A,,153,,,ISM_MEASURE_CONTENT,,0,P,16,,,,,,DEC,31,14.0,,,,2.0,E,,,,,
SYBMON_CACHEDSTMTCOND,TOTALSORTTIME,A,,72,,,SYBBIGINT,,1,P,12,,,,,,DEC,22,,,,,,E,,,,,
REIS_RO_AS_L,UNITPRICE_CN05,A,,263,,,REISCONDMEASPRICE,,2,P,10,,,,,,DEC,19,6.0,RECDUNITPRICE,,,,E,,,,,
