mandt,rldnr,gcurr,class,typ,trcur,lccur,rccur,occur,quant,atqnt,tab,rcopy,shkz,glsip,vortrag,dldnr,xdldnr,curt1,curt2,curt3,v2post,lctyp,fix,post,rollup,depld,appl,subappl,komp,gzledger,exit,kldnr,logsys,valutyp,gcompress,splitmethd,date_det_poper,glflex,xleading,orient_ledger,avg_rollup,xcash_ledger,operation_flag,is_deleted,recordstamp
200,0R,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,X,FI,GL,,,,00,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,0R,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,X,FI,GL,,,,00,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,0R,,,0.0,X,X,,,,,GLT0,,X,,X,,,10,30.0,,,,X,X,,X,FI,GL,,,,00,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,0F,,,0.0,X,X,X,,X,,GLFUNCT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,0F,,,0.0,X,X,X,,X,,GLFUNCT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,0F,,,0.0,X,X,X,,X,,GLFUNCT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,0F,,,0.0,X,X,X,,X,,GLFUNCT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,0F,,,0.0,X,X,X,,X,,GLFUNCT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,0F,,,0.0,X,X,X,,X,,GLFUNCT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,0F,,,0.0,X,X,X,,X,,GLFUNCT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,7R,,,,X,X,X,,X,,PCRRETAILT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,7R,,,,X,X,X,,X,,PCRRETAILT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,7R,,,,X,X,X,,X,,PCRRETAILT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,7R,,,,X,X,X,,X,,PCRRETAILT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,7R,,,,X,X,X,,X,,PCRRETAILT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,7R,,,,X,X,X,,X,,PCRRETAILT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,7R,,,,X,X,X,,X,,PCRRETAILT,,X,X,X,,,10,30.0,,,,,X,,,FI,SL,,,,,,,X,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,90,,,,X,X,,,,,GMIT,,,X,,,,10,,,,,,X,X,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,90,,,,X,X,,,,,GMIT,,,X,,,,10,,,,,,X,X,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,90,,,,X,X,,,,,GMIT,,,X,,,,10,,,,,,X,X,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,90,,,,X,X,,,,,GMIT,,,X,,,,10,,,,,,X,X,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,90,,,,X,X,,,,,GMIT,,,X,,,,10,,,,,,X,X,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,90,,,,X,X,,,,,GMIT,,,X,,,,10,,,,,,X,X,,FI,SL,,,,,,,X,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,90,,,,X,X,,,,,GMIT,,,X,,,,10,,,,,,X,X,,FI,SL,,,,,,,X,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9K,,,,X,X,,,,,GMAVCT,,,,,,,10,,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9K,,,,X,X,,,,,GMAVCT,,,,,,,10,,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9K,,,,X,X,,,,,GMAVCT,,,,,,,10,,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9K,,,,X,X,,,,,GMAVCT,,,,,,,10,,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9K,,,,X,X,,,,,GMAVCT,,,,,,,10,,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9K,,,,X,X,,,,,GMAVCT,,,,,,,10,,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9K,,,,X,X,,,,,GMAVCT,,,,,,,10,,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
0,9P,,,,X,X,X,,,,FMCCAVCT,,,,,,,10,30.0,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
1,9P,,,,X,X,X,,,,FMCCAVCT,,,,,,,10,30.0,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
50,9P,,,,X,X,X,,,,FMCCAVCT,,,,,,,10,30.0,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9P,,,,X,X,X,,,,FMCCAVCT,,,,,,,10,30.0,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
200,9P,,,,X,X,X,,,,FMCCAVCT,,,,,,,10,30.0,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
250,9P,,,,X,X,X,,,,FMCCAVCT,,,,,,,10,30.0,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:50.078111+00:00
100,9P,,,,X,X,X,,,,FMCCAVCT,,,,,,,10,30.0,,,,X,X,,,FI,SL,,,,,,,,,,,,,,,I,False,2022-04-21 15:18:14.614641+00:00
800,9E,,,,X,X,,,,,FMIT,,,,,,,10,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9D,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9C,,,,X,X,,,,,FMIT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9A,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9B,,,,X,X,,,,,FMIT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9G,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9F,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9J,,,,X,X,,,,,FMBDT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9M,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9N,,,,X,X,,,,,FMRBT,,,X,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,P1,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9H,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
800,9I,,,,X,X,,,,,FMAVCT,,,,,,,A0,,,,,X,X,,,FI,FM,,,,,,0.0,,,0.0,,,,,,I,False,2021-03-31 05:00:41.521200+00:00
