mandt,prctr,datbi,kokrs,datab,ersda,usnam,merkmal,abtei,verak,verak_user,waers,nprctr,land1,anred,name1,name2,name3,name4,ort01,ort02,stras,pfach,pstlz,pstl2,spras,telbx,telf1,telf2,telfx,teltx,telx1,datlt,drnam,khinr,bukrs,vname,recid,etype,txjcd,regio,kvewe,kappl,kalsm,logsystem,lock_ind,pca_template,segment,operation_flag,is_deleted,recordstamp
1,SAP-DUMMY,9999-12-31,BE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PBE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,CN01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PCN01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,CO01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PCO01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,CZ01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PCZ01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,DE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PDE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,DE02,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PDE02-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,ES01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PES01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,HU01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PHU01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,JP01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PJP01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,NO01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PNO01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,PE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PPE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,RU01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PRU01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,SE01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PSE01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,SK01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PSK01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,TR01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PTR01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,TW01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PTW01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,SAP-DUMMY,9999-12-31,UA01,1997-01-01,2002-01-11,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PUA01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
0,HU01-DUMMY,9999-12-31,HU01,1950-01-01,2002-01-17,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PHU01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
1,HU01-DUMMY,9999-12-31,HU01,1950-01-01,2002-01-17,SAP,,,SAP,,,,,,,,,,,,,,,,D,,,,,,,,,PHU01-1,,,,,,,,,,,,,,L,False,2022-01-31 20:41:50.170365+00:00
800,ADMIN,9999-12-31,1000,2006-01-01,2006-04-13,ZECHA,,,n.n.,,,,,,,,,,,,,,,,D,,,,,,,,,NG,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_1010,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Bosch,,,,,,,,,,,,,,,,D,,,,,,,,,HNG1000,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_1020,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Johnson,,,,,,,,,,,,,,,,D,,,,,,,,,HNG1000,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_1030,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Schrempp,,,,,,,,,,,,,,,,D,,,,,,,,,HNG1000,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_1020,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Johnson,,,,,,,,,,,,,,,,D,,,,,,,,,HNG1000,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_1030,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Schrempp,,,,,,,,,,,,,,,,D,,,,,,,,,HNG1000,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_1010,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Bosch,,,,,,,,,,,,,,,,D,,,,,,,,,HNG1000,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_2030,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Müller,,,,,,,,,,,,,,,,D,,,,,,,,,HNG2000,,,,,,,,,,,,,PHAR,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_2010,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Koenig,,,,,,,,,,,,,,,,D,,,,,,,,,HNG2000,,,,,,,,,,,,,PHAR,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_2020,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Dollmann,,,,,,,,,,,,,,,,D,,,,,,,,,HNG2000,,,,,,,,,,,,,PHAR,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_2030,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Müller,,,,,,,,,,,,,,,,D,,,,,,,,,HNG2000,,,,,,,,,,,,,PHAR,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_2010,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Koenig,,,,,,,,,,,,,,,,D,,,,,,,,,HNG2000,,,,,,,,,,,,,PHAR,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_3010,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Miller,,,,,,,,,,,,,,,,D,,,,,,,,,HNG3000,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_3030,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Grundig,,,,,,,,,,,,,,,,D,,,,,,,,,HNG3000,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_3020,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Müller,,,,,,,,,,,,,,,,D,,,,,,,,,HNG3000,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_3010,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Miller,,,,,,,,,,,,,,,,D,,,,,,,,,HNG3000,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_3020,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Müller,,,,,,,,,,,,,,,,D,,,,,,,,,HNG3000,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_3030,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Grundig,,,,,,,,,,,,,,,,D,,,,,,,,,HNG3000,,,,,,,,,,,,,CONS,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_4020,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Schmidt,,,,,,,,,,,,,,,,D,,,,,,,,,HNG4000,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_4020,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Schmidt,,,,,,,,,,,,,,,,D,,,,,,,,,HNG4000,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_4010,9999-12-31,1000,2005-01-01,2005-09-12,ZECHA,,,Sieber,,,,,,,,,,,,,,,,D,,,,,,,,,HNG4000,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,NGL_4010,9999-12-31,2000,2005-01-01,2005-12-12,ZECHA,,,Sieber,,,,,,,,,,,,,,,,D,,,,,,,,,HNG4000,,,,,,,,,,,,,SERV,I,False,2021-03-31 02:35:35.461740+00:00
800,PC01,9999-12-31,1000,2005-01-01,2005-02-11,OCONNOR,,,Mueller,,,,,,,,,,,,,,,,D,,,,,,,,,AC202-1,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,PC03,9999-12-31,1000,2005-01-01,2005-02-11,OCONNOR,,,Mueller,,,,,,,,,,,,,,,,D,,,,,,,,,AC202-1,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,PC02,9999-12-31,1000,2005-01-01,2005-02-11,OCONNOR,,,Mueller,,,,,,,,,,,,,,,,D,,,,,,,,,AC202-1,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,PC00,9999-12-31,1000,2005-01-01,2005-02-11,OCONNOR,,,Mueller,,,,,,,,,,,,,,,,D,,,,,,,,,AC202-1,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3000,9999-12-31,1000,2006-01-01,2006-08-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2200,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2000,9999-12-31,1000,2006-01-01,2006-08-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2200,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1000,9999-12-31,1000,2006-01-01,2006-08-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2200,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1001,9999-12-31,1000,2006-01-01,2006-03-27,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2201,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2001,9999-12-31,1000,2006-01-01,2006-03-27,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2201,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3001,9999-12-31,1000,2006-01-01,2006-03-27,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2201,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1002,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2202,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2002,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2202,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3002,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2202,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2003,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2203,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3003,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2203,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1003,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2203,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3004,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2204,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1004,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2204,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2004,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2204,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3005,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2205,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2005,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2205,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1005,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2205,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3006,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2206,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2006,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2206,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1006,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2206,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3007,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2207,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2007,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2207,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1007,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2207,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1008,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2208,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3008,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2208,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2008,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2208,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1009,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2209,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3009,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2209,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2009,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2209,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-1010,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Mike Mechanics,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2210,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-3010,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Andy Admin,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2210,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,T-2010,9999-12-31,1000,2006-01-01,2006-06-28,UHRMANN,,,Sam Sales,,,,,,,,,,,,,,,,D,,,,,,,,,T-FIN2210,,,,,,,,,,,,,MANF,I,False,2021-03-31 02:35:35.461740+00:00
800,01L100,9999-12-31,1000,2004-01-01,2004-04-08,GRIGOLEIT,,,Mueller,,,,,,,,,,,,,,,,D,,,,,,,,,DE,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
800,0000008120,9999-12-31,1000,2002-01-01,2002-07-18,SCHMIAUKE,,,Ellen Rilke,,,,,,,,,,,,,,,,D,,,,,,,,,H1810,,,,,,,,,,,,,,I,False,2021-03-31 02:35:35.461740+00:00
