mandt,vbeln,posnr,rfsta,rfgsa,besta,lfsta,lfgsa,wbsta,fksta,fksaa,absta,gbsta,kosta,lvsta,uvall,uvvlk,uvfak,uvprs,fkivp,uvp01,uvp02,uvp03,uvp04,uvp05,pksta,koqua,costa,cmppi,cmppj,uvpik,uvpak,uvwak,dcsta,rrsta,vlstp,fssta,lssta,pdsta,manek,hdall,ltsps,fsh_ar_stat_itm,mill_vs_vssta,operation_flag,is_deleted,recordstamp
200,17775,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17223,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700002,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000100,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700006,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000101,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000104,700011,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,5735,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000108,700008,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000103,700004,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000106,700001,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000099,700010,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,70000107,700009,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
200,17525,70,,,,C,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2021-08-17 20:09:53+00:00
