mandt,land1,landk,lnplz,prplz,addrs,xplzs,xplpf,spras,xland,xaddr,nmfmt,xregs,xplst,intca,intca3,intcn3,xegld,xskfn,xmwsn,lnbkn,prbkn,lnblz,prblz,lnpsk,prpsk,xprbk,bnkey,lnbks,prbks,xprso,pruin,uinln,lnst1,prst1,lnst2,prst2,lnst3,prst3,lnst4,prst4,lnst5,prst5,landd,kalsm,landa,wechf,lkvrz,intcn,xdezp,datfm,curin,curha,waers,kurst,afapl,gwgwrt,umrwrt,kzrbwb,xanzum,ctnconcept,kzsrv,xxinve,xgccv,sureg,landgrp_vp,operation_flag,is_deleted,recordstamp
100,CW,,,,,X,,N,,X,,,,CW,CUW,531.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,SX,NL,,,,X,,N,,X,,,,SX,SXM,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,SX,NL,,,,X,,N,,X,,,,SX,SXM,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,SX,NL,,,,X,,N,,X,,,,SX,SXM,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,SX,NL,,,,X,,N,,X,,,,SX,SXM,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,SX,NL,,,,X,,N,,X,,,,SX,SXM,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,SX,NL,,,,X,,N,,X,,,,SX,SXM,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,SX,NL,,,,X,,N,,X,,,,SX,SXM,534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,BQ,,,,,X,,N,,X,,,,BQ,BES,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,BQ,,,,,X,,N,,X,,,,BQ,BES,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,BQ,,,,,X,,N,,X,,,,BQ,BES,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,BQ,,,,,X,,N,,X,,,,BQ,BES,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,BQ,,,,,X,,N,,X,,,,BQ,BES,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,BQ,,,,,X,,N,,X,,,,BQ,BES,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,BQ,,,,,X,,N,,X,,,,BQ,BES,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,MP,,,,,X,,E,,X,,,,MP,MNP,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,820,,MARIAN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,MP,,,,,X,,E,,X,,,,MP,MNP,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,820,,MARIAN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,MP,,,,,X,,E,,X,,,,MP,MNP,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,820,,MARIAN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,MP,,,,,X,,E,,X,,,,MP,MNP,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,820,,MARIAN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,MP,,,,,X,,E,,X,,,,MP,MNP,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,820,,MARIAN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,MP,,,,,X,,E,,X,,,,MP,MNP,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,820,,MARIAN,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,MP,,,,,X,,E,,X,,,,MP,MNP,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,525.0,,820,,MARIAN,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,FM,FSM,,,,X,,E,,X,,,,FM,FSM,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,823,,MIKRON,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,FM,FSM,,,,X,,E,,X,,,,FM,FSM,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,823,,MIKRON,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,FM,FSM,,,,X,,E,,X,,,,FM,FSM,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,823,,MIKRON,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,FM,FSM,,,,X,,E,,X,,,,FM,FSM,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,823,,MIKRON,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,FM,FSM,,,,X,,E,,X,,,,FM,FSM,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,823,,MIKRON,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,FM,FSM,,,,X,,E,,X,,,,FM,FSM,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,823,,MIKRON,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,FM,FSM,,,,X,,E,,X,,,,FM,FSM,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,545.0,,823,,MIKRON,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,TL,,,,,,,P,,X,,,,TL,TLS,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,TL,,,,,,,P,,X,,,,TL,TLS,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,TL,,,,,,,P,,X,,,,TL,TLS,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,TL,,,,,,,P,,X,,,,TL,TLS,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,TL,,,,,,,P,,X,,,,TL,TLS,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,TL,,,,,,,P,,X,,,,TL,TLS,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,TL,,,,,,,P,,X,,,,TL,TLS,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,MF,,,,,,,F,,,,,,MF,MAF,663.0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,MF,,,,,,,F,,,,,,MF,MAF,663.0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,MF,,,,,,,F,,,,,,MF,MAF,663.0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,MF,,,,,,,F,,,,,,MF,MAF,663.0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,MF,,,,,,,F,,,,,,MF,MAF,663.0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,MF,,,,,,,F,,,,,,MF,MAF,663.0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,MF,,,,,,,F,,,,,,MF,MAF,663.0,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,SS,SSD,,,,X,,E,,,,,,SS,SSD,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,SS,SSD,,,,X,,E,,,,,,SS,SSD,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,SS,SSD,,,,X,,E,,,,,,SS,SSD,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,SS,SSD,,,,X,,E,,,,,,SS,SSD,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,SS,SSD,,,,X,,E,,,,,,SS,SSD,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,SS,SSD,,,,X,,E,,,,,,SS,SSD,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,SS,SSD,,,,X,,E,,,,,,SS,SSD,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,EH,,,,,,,F,,X,,,,EH,ESH,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,EH,,,,,,,F,,X,,,,EH,ESH,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,EH,,,,,,,F,,X,,,,EH,ESH,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,EH,,,,,,,F,,X,,,,EH,ESH,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,EH,,,,,,,F,,X,,,,EH,ESH,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,EH,,,,,,,F,,X,,,,EH,ESH,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,EH,,,,,,,F,,X,,,,EH,ESH,732.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,,,,,,,,EUR,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,MK,MK,,,,X,,,,,,,,MK,MKD,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,096,,MAZED,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,MK,MK,,,,X,,,,,,,,MK,MKD,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,096,,MAZED,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,MK,MK,,,,X,,,,,,,,MK,MKD,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,096,,MAZED,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,MK,MK,,,,X,,,,,,,,MK,MKD,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,096,,MAZED,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,MK,MK,,,,X,,,,,,,,MK,MKD,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,096,,MAZED,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,MK,MK,,,,X,,,,,,,,MK,MKD,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,096,,MAZED,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,MK,MK,,,,X,,,,,,,,MK,MKD,807.0,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0,,096,,MAZED,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,GG,GGY,,,,,,E,,X,,,,GG,GGY,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,GG,GGY,,,,,,E,,X,,,,GG,GGY,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,GG,GGY,,,,,,E,,X,,,,GG,GGY,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GG,GGY,,,,,,E,,X,,,,GG,GGY,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
200,GG,GGY,,,,,,E,,X,,,,GG,GGY,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
250,GG,GGY,,,,,,E,,X,,,,GG,GGY,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,GG,GGY,,,,,,E,,X,,,,GG,GGY,831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:19.043008+00:00
0,JE,,,,,,,E,,X,,,,JE,JEY,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
1,JE,,,,,,,E,,X,,,,JE,JEY,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
50,JE,,,,,,,E,,X,,,,JE,JEY,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
100,JE,,,,,,,E,,X,,,,JE,JEY,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:38.378205+00:00
