mandt,mtart,mtref,mbref,flref,numki,numke,envop,bsext,bsint,pstat,kkref,vprsv,kzvpr,vmtpo,ekalr,kzgrp,kzkfg,begru,kzprc,kzpip,prdru,aranz,wmakg,izust,ardel,kzmpn,mstae,cchis,ctype,class,chneu,vtype,vnumki,vnumke,kzrac,operation_flag,is_deleted,recordstamp
200,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,VKHM,HAWA,HAWA,VKHM,1.0,2.0,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,VKHM,HAWA,HAWA,VKHM,1.0,2.0,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,VKHM,HAWA,HAWA,VKHM,1.0,2.0,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VKHM,HAWA,HAWA,VKHM,1.0,2.0,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,VKHM,HAWA,HAWA,VKHM,1.0,2.0,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,VKHM,HAWA,HAWA,VKHM,1.0,2.0,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VKHM,HAWA,HAWA,VKHM,1.0,2.0,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,AEM,HAWA,ROH,HAWA,1.0,2.0,X,2.0,0.0,BCDEGKLPQSVXZ,5.0,V,,ZMUS,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,HAWA,HAWA,ROH,HAWA,1.0,2.0,X,2.0,0.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,PLAN,HAWA,PLAN,HAWA,1.0,2.0,,0.0,0.0,CEKV,5.0,V,,NORM,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,VOLL,HAWA,ROH,HAWA,1.0,2.0,,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,VOLL,,,,,,,,,,,5.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,VKHM,HAWA,HAWA,VKHM,,,X,2.0,2.0,BCDEGKLPQSVXZ,5.0,V,,NORM,,,,,,,,,5.0,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,COUP,HAWA,COUP,WERB,1.0,2.0,X,0.0,0.0,KQSVXZ,5.0,V,,NORM,,,,2.0,,,,X,6.0,,10.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,WERB,UNBW,ROH,WERB,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,WERB,UNBW,ROH,WERB,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,WERB,UNBW,ROH,WERB,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,WERB,UNBW,ROH,WERB,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,WERB,UNBW,ROH,WERB,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,WERB,UNBW,ROH,WERB,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,WERB,UNBW,ROH,WERB,1.0,2.0,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,WERB,UNBW,ROH,WERB,,,X,2.0,0.0,BCDEKLPQSVXZ,5.0,V,,NORM,,,,,,,,,3.0,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
0,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
800,XLMT,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BDEKV,6.0,S,,LEIS,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,ZIEN,DIEN,ROH,FERT,1.0,2.0,,2.0,0.0,BCDEGKLV,6.0,S,,ZEIS,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,DIEN,DIEN,ROH,DIEN,1.0,2.0,,2.0,0.0,BCDEGKV,6.0,S,,LEIS,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
800,CH00,DIEN,ROH,DIEN,1.0,2.0,,0.0,0.0,KV,6.0,S,,,,,,,,,,,,,0.0,,,,,,,,,,,L,False,2021-08-06 04:11:14.351318+00:00
0,ABF,HALB,ROH,HALB,1.0,2.0,,2.0,2.0,CEGKLPQSVXZ,7.0,S,X,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
1,ABF,HALB,ROH,HALB,1.0,2.0,,2.0,2.0,CEGKLPQSVXZ,7.0,S,X,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
50,ABF,HALB,ROH,HALB,1.0,2.0,,2.0,2.0,CEGKLPQSVXZ,7.0,S,X,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ABF,HALB,ROH,HALB,1.0,2.0,,2.0,2.0,CEGKLPQSVXZ,7.0,S,X,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
200,ABF,HALB,ROH,HALB,1.0,2.0,,2.0,2.0,CEGKLPQSVXZ,7.0,S,X,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
250,ABF,HALB,ROH,HALB,1.0,2.0,,2.0,2.0,CEGKLPQSVXZ,7.0,S,X,,,,,,,,,,,,,,,,,,,,,,,L,False,2022-01-31 20:43:47.910449+00:00
100,ABF,HALB,ROH,HALB,1.0,2.0,,2.0,2.0,CEGKLPQSVXZ,7.0,S,X,,,,,,,,,,,,,,,,,,,,,,,I,False,2022-04-21 15:05:52.638512+00:00
