mandt,spras,ktopl,saknr,txt20,txt50,mcod1,operation_flag,is_deleted,recordstamp
1,F,GKR,110002,,Compte CCP (décaissement),COMPTE CCP (DéCAISSEMENT),L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,110005,,Compte CCP (autres écritures intermédiaires),COMPTE CCP (AUTRES éCRITU,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,110009,,Compte CCP (entrée fonds client),COMPTE CCP (ENTRéE FONDS,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113101,,Banque 1 (chèque émis),BANQUE 1 (CHèQUE éMIS),L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113104,,Banque 1 (Prélèv. bancaire auto.),BANQUE 1 (PRéLèV. BANCAIR,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113106,,Banque 1(engagem. traites propr. accept.),BANQUE 1(ENGAGEM. TRAITES,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113107,,Banque 1 (engagement remise à l´escompte),BANQUE 1 (ENGAGEMENT REMI,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113108,,Banque 1 (encaissement chèque),BANQUE 1 (ENCAISSEMENT CH,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113109,,Banque 1 (entrée fonds client),BANQUE 1 (ENTRéE FONDS CL,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113111,,Banque 1 (effet à payer courants),BANQUE 1 (EFFET à PAYER C,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113112,,Bque 1 (effet-rem.enc.),BQUE 1 (EFFET-REM.ENC.),L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113150,,Banque 1 - devise interne A,BANQUE 1 - DEVISE INTERNE,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113155,,TR-TM Bque 1 Compensation dev. étr. A,TR-TM BQUE 1 COMPENSATION,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113160,,Banque 1 - devise interne B,BANQUE 1 - DEVISE INTERNE,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113165,,TR-TM Bque 1 Compensation Dev. étr. B,TR-TM BQUE 1 COMPENSATION,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,113205,,Banque 2 (autr. écrit. intermédiaires),BANQUE 2 (AUTR. éCRIT. IN,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,143100,,Fournisseurs débiteurs,FOURNISSEURS DéBITEURS,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,151110,,Imputation tva déductible acompte sur actif circ.,IMPUTATION TVA DéDUCTIBLE,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,171000,,Avances et acomptes reçus,AVANCES ET ACOMPTES REçUS,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,191000,,Elimination EM/EF -fabrication interne-,ELIMINATION EM/EF -FABRIC,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,191100,,Elimination EM/EF - approvisionnement externe -,ELIMINATION EM/EF - APPRO,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,191500,,Transitoires Immobilisations à inventaire,TRANSITOIRES IMMOBILISATI,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,191750,,Elimination coûts indirects acquisition (MM),ELIMINATION COûTS INDIREC,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,194500,,Elimination domaine activité,ELIMINATION DOMAINE ACTIV,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,196300,,Demandes de versement d´acompte (fournisseurs),DEMANDES DE VERSEMENT D´A,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,196400,,Cautions obtenues (Créanciers),CAUTIONS OBTENUES (CRéANC,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,200100,,Charges de différences de cours de change,CHARGES DE DIFFéRENCES DE,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,201200,,Frais revalorisation produit fabrication interne,FRAIS REVALORISATION PROD,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,201250,,Charge de la revalorisation de l'article externe,CHARGE DE LA REVALORISATI,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,201400,,Frais de transfert de stock,FRAIS DE TRANSFERT DE STO,L,False,2022-01-31 20:43:35.420426+00:00
1,F,GKR,204400,,Produit de transfert physique,PRODUIT DE TRANSFERT PHYS,L,False,2022-01-31 20:43:35.420426+00:00
